imu_interval_task,B-mono,256,131770,840000,2521463,2522280
imu_interval_task,B-mono,256,131770,840000,2521463,2522280
action_latency,B-mono,128,754,769,1680755,1680755
imu_interval_task,B-mono,256,131770,840000,2521463,2522280
load_job,B-mono,128,1680096,1680112,1680125,1680125
imu_interval_task,B-mono,256,131770,840000,2522278,2522859
imu_interval_task,B-mono,256,131770,840000,2521463,2522280
imu_interval_task,L0-noload,256,839820,840000,840180,840180
imu_interval_task,L0-noload,256,839820,840000,840180,840180
action_latency,L0-noload,128,769,769,1257,1257
imu_interval_task,L0-noload,256,839820,840000,840180,840180
imu_interval_task,L0-noload,256,839820,840000,840180,840180
imu_interval_task,L0-noload,256,839820,840000,840180,840180
action_latency,L0-noload,128,769,769,1257,1257
imu_interval_task,L0-noload,256,839820,840000,840180,840180
imu_interval_task,L0-noload,256,839806,840000,840180,840194
action_latency,L0-noload,128,759,769,1257,1257
imu_interval_task,L0-noload,256,839820,840000,840180,840180
imu_interval_task,L0-noload,256,839820,840000,840180,840180
imu_interval_task,L0-noload,256,839820,840000,840180,840180
action_latency,L0-noload,128,765,769,1257,1257
imu_interval_task,A-mono,256,839800,840000,840180,840194
imu_interval_task,A-mono,256,839800,840000,840180,840180
imu_interval_task,A-mono,256,839800,840000,840180,840180
action_latency,A-mono,128,757,769,771,1475
load_job,A-mono,128,1680096,1680127,2560350,3175120
imu_interval_task,A-mono,256,839802,840000,840180,840180
imu_interval_task,A-mono,256,839800,840000,840180,840180
action_latency,A-mono,128,757,769,1475,1475
load_job,A-mono,128,1680096,1680127,2795272,4132262
imu_interval_task,A-mono,256,839802,840000,840180,840180
imu_interval_task,A-mono,256,839802,840000,840180,840180
imu_interval_task,A-mono,256,839800,840000,840180,840180
action_latency,A-mono,128,757,769,1475,1475
load_job,A-mono,128,1680096,1680127,2678634,3727680
imu_interval_task,A-mono,256,839800,840000,840180,840180
imu_interval_task,A-mono,256,839790,840000,840180,840194
action_latency,A-mono,128,757,769,1475,1475
imu_interval_task,B-mono,256,131770,840000,2521463,2522223
imu_interval_task,B-mono,256,131770,840000,2521463,2522280
imu_interval_task,B-mono,256,131770,840000,2521463,2522280
action_latency,B-mono,128,769,769,1680755,1680755
load_job,B-mono,128,1680096,1680112,1680125,1680125
imu_interval_task,B-mono,256,131770,840000,2521463,2522280
imu_interval_task,B-mono,256,131770,840000,2521463,2522280
action_latency,B-mono,128,754,769,1680755,1680755
imu_interval_task,B-mono,256,131770,840000,2521463,2522278
load_job,B-mono,128,1680096,1680112,1680125,1680125
imu_interval_task,B-mono,256,131770,840000,2521463,2522280
imu_interval_task,B-mono,256,131770,840000,2521463,2522278
action_latency,B-mono,128,754,769,1680755,1680755
load_job,B-mono,128,1680096,1680112,1680125,1680125
imu_interval_task,B-mono,256,131770,839994,2521463,2522278
imu_interval_task,B-mono,256,131770,840000,2521463,2522280
action_latency,B-mono,128,754,769,1680755,1682151
imu_interval_task,C-chunk5ms,256,131770,840000,2521463,2522280
imu_interval_task,C-chunk5ms,256,418605,840000,1261319,1261319
inference_cycles,C-chunk5ms,128,59911,59935,60157,60161
infer_decide_latency,C-chunk5ms,128,62139,62165,325946,603540
imu_interval_task,C-chunk5ms,256,418605,840000,1261319,1261319
action_latency,C-chunk5ms,128,759,769,420736,420736
load_job,C-chunk5ms,128,1931853,1932035,1932205,1932209
imu_interval_task,C-chunk5ms,256,418605,840000,1261319,1261334
imu_interval_task,C-chunk5ms,256,418605,840000,1261319,1261319
imu_interval_task,C-chunk5ms,256,418605,840000,1261319,1261319
action_latency,C-chunk5ms,128,754,769,420736,420736
